Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
US500;1138541446;Buy;0.01;10.11.2023 20:34:14;4420.3;10.11.2023 20:41:45;4422.3;4.14;4.14;0;
US500;1138521456;Buy;0.01;10.11.2023 20:09:30;4420.7;10.11.2023 20:27:54;4420.9;0.41;0.41;0;
US500;1138487377;Buy;0.01;10.11.2023 19:33:49;4417;10.11.2023 19:55:40;4417.7;1.45;1.45;0;
US500;1138342649;Sell;0.01;10.11.2023 17:36:49;4385.2;10.11.2023 18:32:27;4401;-32.8;-32.80;0;
EURCAD;1138060543;Buy;0.04;10.11.2023 15:23:03;1.47661;10.11.2023 16:02:01;1.47649;-1.44;-1.44;0;
EURCAD;1137956615;Buy;0.04;10.11.2023 13:58:14;1.47565;10.11.2023 14:58:54;1.47722;18.79;18.79;0;
OIL;1136388988;Buy;0.01;09.11.2023 10:17:03;80.24;10.11.2023 14:08:44;80.91;27.72;26.81;0;
USDPLN;1137891584;Sell;0.03;10.11.2023 13:08:11;4.1465;10.11.2023 13:39:53;4.1458;2.1;2.10;0;
USDPLN;1137780415;Sell Stop;0.03;10.11.2023 11:22:32;4.1441;10.11.2023 12:22:33;4.1386;16.5;16.50;0;[S/L]
USDPLN;1137730261;Sell;0.03;10.11.2023 10:39:51;4.1512;10.11.2023 10:52:31;4.1442;21;21.00;0;
USDPLN;1137673353;Buy;0.03;10.11.2023 09:46:49;4.1444;10.11.2023 10:06:49;4.1468;7.2;7.20;0;
Dino;1135498599;Buy;0.6429;08.11.2023 15:09:20;435.5;10.11.2023 09:43:11;430.5;-3.21;-3.21;0;
USDPLN;1137310506;Sell;0.01;09.11.2023 20:21:08;4.1639;10.11.2023 09:12:40;4.1496;14.3;14.15;0;
EURUSD;1137127654;Sell Limit;0.01;09.11.2023 18:33:07;1.07045;09.11.2023 19:07:31;1.06749;12.28;12.28;0;[T/P]
USDPLN;1136854194;Buy;0.01;09.11.2023 16:04:37;4.1436;09.11.2023 16:45:28;4.1338;-9.8;-9.80;0;
USDPLN;1136270911;Buy;0.01;09.11.2023 08:41:51;4.1488;09.11.2023 14:38:05;4.1576;8.8;8.80;0;
W20;1135109554;Sell;0.02;08.11.2023 09:16:29;2170.6;08.11.2023 15:18:27;2164.4;2.48;2.48;0;
EURPLN;1134882367;Buy Stop;0.01;07.11.2023 21:50:46;4.459;08.11.2023 15:01:24;4.4297;-29.3;-29.75;0;[S/L]

